,MONTH,HS_CODE,PRODUCT_NAME,TRADE_PARTNER_CODE,TRADE_PARTNER_NAME,TRADE_METHOD_CODE,TRADE_METHOD_NAME,ORIGIN_CODE,ORIGIN_NAME,QUANTITY,QUANTITY_UNIT,WEIGHT,WEIGHT_UNIT,TRADE_VALUE,AVG_UNIT_PRICE,GEO_LOCATION
3147,2021-06-28,84717011,固态硬盘(SSD),352,czech republic,10,General trade,36,Jiangxi,200,PCS,13,KG,6775,33.875,"27.6140° N, 115.7221° E"
3148,2021-06-28,84717011,固态硬盘(SSD),352,czech republic,10,General trade,44,Guangdong,148,PCS,20,KG,8613,58.195945945945944,"23.3790° N, 113.7633° E"
3149,2021-06-28,84717011,固态硬盘(SSD),352,czech republic,15,Import processing trade,31,Shanghai,3538,PCS,238,KG,232891,65.8256076879593,"31.2304° N, 121.4737° E"
3150,2021-06-28,84717011,固态硬盘(SSD),352,czech republic,15,Import processing trade,50,Chongqing,1303,PCS,8,KG,69318,53.19877206446662,"29.4316° N, 106.9123° E"
3151,2021-06-28,84717011,固态硬盘(SSD),352,czech republic,34,Logistics goods in areas under special customs supervision,31,Shanghai,740,PCS,96,KG,458147,619.1175675675676,"31.2304° N, 121.4737° E"
3152,2021-06-28,84717011,固态硬盘(SSD),352,czech republic,34,Logistics goods in areas under special customs supervision,32,Jiangsu,424,PCS,37,KG,23885,56.33254716981132,"32.0603° N, 118.7969° E"
3153,2021-06-28,84717011,固态硬盘(SSD),352,czech republic,34,Logistics goods in areas under special customs supervision,50,Chongqing,1046,PCS,56,KG,31371,29.991395793499045,"29.4316° N, 106.9123° E"
3154,2021-06-28,84717011,固态硬盘(SSD),352,czech republic,34,Logistics goods in areas under special customs supervision,61,Shaanxi,57754,PCS,573,KG,3631362,62.87637219932819,"35.7452° N, 109.0085° E"
3155,2021-06-28,84717011,固态硬盘(SSD),353,Slovakia,10,General trade,33,Zhejiang,1,PCS,0,KG,40,40.0,"29.1416° N, 119.7889° E"
3156,2021-06-28,84717011,固态硬盘(SSD),353,Slovakia,10,General trade,44,Guangdong,1,PCS,0,KG,33,33.0,"23.3790° N, 113.7633° E"
3157,2021-06-28,84717011,固态硬盘(SSD),355,bosnia and herzegovina,10,General trade,44,Guangdong,11,PCS,6,KG,6365,578.6363636363636,"23.3790° N, 113.7633° E"
3158,2021-06-28,84717011,固态硬盘(SSD),358,Serbia,10,General trade,44,Guangdong,1,PCS,0,KG,47,47.0,"23.3790° N, 113.7633° E"
3159,2021-06-28,84717011,固态硬盘(SSD),358,Serbia,10,General trade,51,Sichuan,155,PCS,8,KG,2991,19.296774193548387,"30.2638° N, 102.8055° E"
